ID	caption
ImageCLEFmedCaption_2022_train_000001	pericardial tamponade with clear distinction of epicardial border  and pericardium
ImageCLEFmedCaption_2022_train_000002	angiography of the aortic arch show delay visualization of the aberrant right subclavian artery arrow
ImageCLEFmedCaption_2022_train_000003	balloonocclude retrograde transvenous obliteration be attempt use a coaxial and double interruption system cytography be perform by insert the catheter into the shunt complete balloon occlusion be not achieve with a  balloon catheter arrow  the  mm balloon be inflate when the guide balloon catheter be fix at the optimum position arrow  follow which stasis of the contrast medium be observe we then perform balloonocclude retrograde transvenous obliteration use a sclerosing agent
ImageCLEFmedCaption_2022_train_000004	film after glue embolization show no filling in the pseudoaneurysm and the glue angiocatheter
ImageCLEFmedCaption_2022_train_000005	peripheral in posteroanterior projection angiography total occlusion in the left popliteal artery black arrow be observe with distal collateral filling white arrow
ImageCLEFmedCaption_2022_train_000006	subtotal occlusion of the left main coronary artery
ImageCLEFmedCaption_2022_train_000007	intravasation of dye
ImageCLEFmedCaption_2022_train_000008	spinal needle see in the first sacral foramen in carm image
ImageCLEFmedCaption_2022_train_000010	no right coronary ostium be observe use aortography
ImageCLEFmedCaption_2022_train_000011	the right judkins catheter be gently pull back and the leave coronary artery clearly vbeualize leave anterior oblique cranial projection in thbe image the leave anterior descend coronary artery originate from the right sinus of valsalva then remain in its own way on cx artery
ImageCLEFmedCaption_2022_train_000012	fluoroscopic image at shallow right anterior oblique projection show the positioning of ablate catheter in right upper pulmonary vein a halo b dislodge coronary sinus catheter c and right atrial catheter d
ImageCLEFmedCaption_2022_train_000013	venous dissection of the leave brachiocephalic vein due to short length leave internal jugular vein tunnel cuff catheter
ImageCLEFmedCaption_2022_train_000014	coronary angiogram demonstrating aneurysm in leave anterior descend artery black arrow
ImageCLEFmedCaption_2022_train_000015	occlusion of persistent ductus venosus yellow arrow with a balloon wedge catheter introduce from the inferior vena cava balloon occlusion angiogram show adequate portal vein ramification
ImageCLEFmedCaption_2022_train_000016	balloon catheter insert in over the wire note balloon marker arrow
ImageCLEFmedCaption_2022_train_000017	angiographic image of fistula between superficial femoral artery and superficial femoral vein
ImageCLEFmedCaption_2022_train_000018	vessel be straighten with two floppy guidewire and a balloon delivery system
ImageCLEFmedCaption_2022_train_000019	angiographic image show normal coronary artery
ImageCLEFmedCaption_2022_train_000020	leave ventriculogram show septation in the apical onethird of the left ventricle arrow
ImageCLEFmedCaption_2022_train_000021	ercp show a  distal common bile duct stricture with upstream biliary dilation
ImageCLEFmedCaption_2022_train_000022	cyst gastrostomy dilation with  mm balloon
ImageCLEFmedCaption_2022_train_000023	endoscopic retrograde pancreatography the apply contrast fill the pancreatic duct which in the area of the pancreatic body and tail leak to the collection of the walloff pancreatic necrosis
ImageCLEFmedCaption_2022_train_000024	when corsair microcatheter reach ostium of rca sion guidewire be change for  guidewire  cm
ImageCLEFmedCaption_2022_train_000025	ultrasoundguide percutaneous transhepatic biliary drainage ptbd be use to divert bile from the duodenal stump right ptbd be do via  segmental bile duct from segment  of liver with an  pigtail catheter
ImageCLEFmedCaption_2022_train_000026	anteroposterior view of the final position of radio frequency needle below  and  thoracic pedicle after nonionic contrast injection
ImageCLEFmedCaption_2022_train_000027	angiography show a blush from a dorsal branch from the left internal iliac artery arrow
ImageCLEFmedCaption_2022_train_000028	occlusion of the left main
ImageCLEFmedCaption_2022_train_000029	no filling of left system during aortic root injection
ImageCLEFmedCaption_2022_train_000030	saphenous venous graft angiography show giant aneurysm arrow with organize thrombus
ImageCLEFmedCaption_2022_train_000031	the pseudoaneurysm be detect upon celiac axis injection with the aneurysmal sac slightly lateral to the edge of the plastic stent arrow the sac be no long see on a selective digital subtraction angiography image after successful embolization blood flow be maintain in the anterior segment of the right hepatic artery
ImageCLEFmedCaption_2022_train_000032	visualization of the foramen ovale in the submental and oblique projection
